year,month,originCountry,dollarRate,consumerPriceIndex,totalCount
2024,January,India,315.7,185.5,34399
2024,January,Russia,315.7,251.3,31159
2024,January,United Kingdom,315.7,130.0,16665
2024,January,Germany,315.7,117.6,13593
2024,January,China,315.7,103.1,11511
2024,January,France,315.7,118.19,9919
2024,January,Poland,315.7,182.2,7800
2024,January,Australia,315.7,137.4,6645
2024,January,United States,315.7,141.4396793,5712
2024,January,Netherlands,315.7,127.11,4531
2024,February,Russia,309.5,253.0,32030
2024,February,India,309.5,185.8,30027
2024,February,United Kingdom,309.5,130.8,20614
2024,February,Germany,309.5,118.1,16259
2024,February,China,309.5,104.2,14836
2024,February,France,309.5,119.21,12503
2024,February,Poland,309.5,182.7,6909
2024,February,Australia,309.5,137.4,6265
2024,February,United States,309.5,142.3151445,5709
2024,February,Netherlands,309.5,127.95,4011
2024,March,India,300.3,185.8,31853
2024,March,Russia,300.3,254.0,28016
2024,March,United Kingdom,300.3,131.6,21540
2024,March,Germany,300.3,118.6,18324
2024,March,China,300.3,103.3,12865
2024,March,France,300.3,119.47,10960
2024,March,Australia,300.3,137.4,8852
2024,March,United States,300.3,143.2350938,7617
2024,March,Poland,300.3,183.1,4789
2024,March,Canada,300.3,159.8,4034
2024,April,India,297.25,186.7,27304
2024,April,Russia,297.25,255.2,15103
2024,April,United Kingdom,297.25,132.2,13173
2024,April,Germany,297.25,119.2,9843
2024,April,France,297.25,120.07,8792
2024,April,China,297.25,103.2,8518
2024,April,Australia,297.25,138.8,7202
2024,April,United States,297.25,143.79275,5574
2024,April,Canada,297.25,160.6,3594
2024,April,Netherlands,297.25,129.42,3437
2024,May,India,301.8,187.7,32254
2024,May,United Kingdom,301.8,132.7,8094
2024,May,Maldives,301.8,102.6575979,8040
2024,May,China,301.8,103.2,7511
2024,May,Germany,301.8,119.3,7495
2024,May,Australia,301.8,138.8,5465
2024,May,Russia,301.8,257.1,4384
2024,May,United States,301.8,144.03168,4082
2024,May,France,301.8,120.11,4064
2024,May,Canada,301.8,161.5,3294
2024,June,India,305.9,190.2,28631
2024,June,United Kingdom,305.9,133.0,9266
2024,June,China,305.9,102.9,8575
2024,June,Australia,305.9,138.8,6317
2024,June,Maldives,305.9,103.4058817,5109
2024,June,Germany,305.9,119.4,4556
2024,June,Bangladesh,305.9,123.38,4374
2024,June,United States,305.9,144.0802915,4023
2024,June,Russia,305.9,258.8,3412
2024,June,Canada,305.9,161.4,3263
2024,July,India,302.25,193.0,41173
2024,July,United Kingdom,302.25,132.9,20837
2024,July,China,302.25,103.4,13040
2024,July,Netherlands,302.25,131.82,11431
2024,July,Germany,302.25,119.8,10618
2024,July,France,302.25,120.42,9405
2024,July,Australia,302.25,139.1,7371
2024,July,Switzerland,302.25,107.539,5089
2024,July,United States,302.25,144.2476801,4962
2024,July,Canada,302.25,162.1,4821
2024,August,India,299.0,193.0,33031
2024,August,United Kingdom,299.0,133.4,17587
2024,August,China,299.0,103.8,11333
2024,August,Germany,299.0,119.7,10623
2024,August,Italy,299.0,121.4,9586
2024,August,France,299.0,121.06,8596
2024,August,Spain,299.0,115.707,7262
2024,August,Australia,299.0,139.1,6687
2024,August,Netherlands,299.0,132.24,5355
2024,August,Russia,299.0,262.4,4351
2024,September,India,296.0,194.2,27884
2024,September,China,296.0,103.8,9078
2024,September,United Kingdom,296.0,133.5,8688
2024,September,Germany,296.0,119.7,8260
2024,September,Australia,296.0,139.1,7200
2024,September,Maldives,296.0,103.870556,4359
2024,September,Russia,296.0,263.5,4199
2024,September,Bangladesh,296.0,130.61,4178
2024,September,Spain,296.0,115.009,4166
2024,September,France,296.0,119.56,3749
2024,October,India,292.9,196.8,36417
2024,October,Russia,292.9,265.4,10367
2024,October,United Kingdom,292.9,134.3,10206
2024,October,Germany,292.9,120.2,9217
2024,October,China,292.9,103.6,8307
2024,October,Australia,292.9,139.4,6523
2024,October,France,292.9,119.89,4688
2024,October,Bangladesh,292.9,133.32,3732
2024,October,Spain,292.9,115.726,3458
2024,October,United States,292.9,144.7631452,3170
2024,November,India,290.6,196.5,41120
2024,November,Russia,290.6,269.3,29053
2024,November,United Kingdom,290.6,134.6,12912
2024,November,Germany,290.6,119.9,12593
2024,November,China,290.6,103.0,8371
2024,November,Australia,290.6,139.4,7937
2024,November,France,290.6,119.72,6665
2024,November,Poland,290.6,190.0,5164
2024,November,United States,290.6,144.6847248,4472
2024,November,Spain,290.6,116.01,3655
2024,December,India,293.0,195.4,52881
2024,December,Russia,293.0,272.8,35268
2024,December,United Kingdom,293.0,135.1,18757
2024,December,Germany,293.0,120.5,14703
2024,December,Australia,293.0,139.4,13109
2024,December,China,293.0,103.0,9924
2024,December,United States,293.0,144.7360878,8212
2024,December,Maldives,293.0,107.4460219,6903
2024,December,France,293.0,119.95,6332
2024,December,Poland,293.0,190.0,6233
2022,August,United Kingdom,357.88,121.8,6776
2022,August,India,357.88,174.3,5340
2022,August,Germany,357.88,110.7,3251
2022,August,France,357.88,113.38,2784
2022,August,Canada,357.88,152.6,2581
2022,August,Spain,357.88,110.265,2148
2022,August,Australia,357.88,128.4,1898
2022,August,Russia,357.88,228.7,1426
2022,August,United States,357.88,135.8236779,1105
