year,month,originCountry,dollarRate,consumerPriceIndex,totalCount
2024,4,5,315.7,185.5,34399
2024,4,10,315.7,251.3,31159
2024,4,14,315.7,130.0,16665
2024,4,4,315.7,117.6,13593
2024,4,2,315.7,103.1,11511
2024,4,3,315.7,118.19,9919
2024,4,9,315.7,182.2,7800
2024,4,0,315.7,137.4,6645
2024,4,15,315.7,141.4396793,5712
2024,4,7,315.7,127.11,4531
2024,3,10,309.5,253.0,32030
2024,3,5,309.5,185.8,30027
2024,3,14,309.5,130.8,20614
2024,3,4,309.5,118.1,16259
2024,3,2,309.5,104.2,14836
2024,3,3,309.5,119.21,12503
2024,3,9,309.5,182.7,6909
2024,3,0,309.5,137.4,6265
2024,3,15,309.5,142.3151445,5709
2024,3,7,309.5,127.95,4011
2024,7,5,300.3,185.8,31853
2024,7,10,300.3,254.0,28016
2024,7,14,300.3,131.6,21540
2024,7,4,300.3,118.6,18324
2024,7,2,300.3,103.3,12865
2024,7,3,300.3,119.47,10960
2024,7,0,300.3,137.4,8852
2024,7,15,300.3,143.2350938,7617
2024,7,9,300.3,183.1,4789
2024,7,1,300.3,159.8,4034
2024,0,5,297.25,186.7,27304
2024,0,10,297.25,255.2,15103
2024,0,14,297.25,132.2,13173
2024,0,4,297.25,119.2,9843
2024,0,3,297.25,120.07,8792
2024,0,2,297.25,103.2,8518
2024,0,0,297.25,138.8,7202
2024,0,15,297.25,143.79275,5574
2024,0,1,297.25,160.6,3594
2024,0,7,297.25,129.42,3437
2024,8,5,301.8,187.7,32254
2024,8,14,301.8,132.7,8094
2024,8,6,301.8,102.6575979,8040
2024,8,2,301.8,103.2,7511
2024,8,4,301.8,119.3,7495
2024,8,0,301.8,138.8,5465
2024,8,10,301.8,257.1,4384
2024,8,15,301.8,144.03168,4082
2024,8,3,301.8,120.11,4064
2024,8,1,301.8,161.5,3294
2024,6,5,305.9,190.2,28631
2024,6,14,305.9,133.0,9266
2024,6,2,305.9,102.9,8575
2024,6,0,305.9,138.8,6317
2024,6,6,305.9,103.4058817,5109
2024,6,4,305.9,119.4,4556
2024,6,8,305.9,123.38,4374
2024,6,15,305.9,144.0802915,4023
2024,6,10,305.9,258.8,3412
2024,6,1,305.9,161.4,3263
2024,5,5,302.25,193.0,41173
2024,5,14,302.25,132.9,20837
2024,5,2,302.25,103.4,13040
2024,5,7,302.25,131.82,11431
2024,5,4,302.25,119.8,10618
2024,5,3,302.25,120.42,9405
2024,5,0,302.25,139.1,7371
2024,5,12,302.25,107.539,5089
2024,5,15,302.25,144.2476801,4962
2024,5,1,302.25,162.1,4821
2024,1,5,299.0,193.0,33031
2024,1,14,299.0,133.4,17587
2024,1,2,299.0,103.8,11333
2024,1,4,299.0,119.7,10623
2024,1,8,299.0,121.4,9586
2024,1,3,299.0,121.06,8596
2024,1,11,299.0,115.707,7262
2024,1,0,299.0,139.1,6687
2024,1,7,299.0,132.24,5355
2024,1,10,299.0,262.4,4351
2024,11,5,296.0,194.2,27884
2024,11,2,296.0,103.8,9078
